Module,Day,Stability(%),ProcessorSpeed(%),Capability(%),Constraint
Pi0Archive,40,99.9768,100.35,99.46,None
Pi0Archive,41,99.9714,100.52,99.46,Scaling
Pi0Archive,42,99.9872,98.28,99.48,None
Pi0Archive,43,99.9743,98.53,100.87,None
Pi0Archive,44,99.9795,101.14,100.61,None
Pi0Archive,45,99.9719,99.72,99.85,None
Pi0Archive,46,99.9846,100.69,100.97,None
Pi0Archive,47,99.9781,99.36,100.72,None
Pi0Archive,48,99.9738,99.79,99.84,None
Pi0Archive,49,99.975,101.69,99.89,Quantum
Pi0Archive,50,99.981,98.2,101.0,Quantum
Pi0Archive,51,99.9894,101.71,100.7,None
Pi0Archive,52,99.9797,98.85,99.8,None
Pi0Archive,53,99.9776,101.94,99.53,Thermal
Pi0Archive,54,99.9791,99.69,100.91,Bandwidth
Pi0Archive,55,99.9811,100.87,99.31,None
Pi0Archive,56,99.9894,100.32,100.08,Thermal
Pi0Archive,57,99.9711,100.34,100.01,Quantum
Pi0Archive,58,99.9731,101.84,99.16,None
Pi0Archive,59,99.9819,100.7,99.47,None
Pi0Archive,60,99.9878,98.98,100.19,None
Pi0Archive,61,99.9784,100.33,100.05,Scaling
Pi0Archive,62,99.9741,100.86,99.48,None
Pi0Archive,63,99.9834,99.2,99.63,Thermal
Pi0Archive,64,99.9715,99.83,101.0,Bandwidth
Pi0Archive,65,99.9715,98.85,99.53,Scaling
Pi0Archive,66,99.9876,101.52,99.74,None
Pi0Archive,67,99.9867,100.81,100.22,Bandwidth
Pi0Archive,68,99.9831,98.03,100.63,None
Pi0Archive,69,99.9833,101.76,99.27,None
Pi0Archive,70,99.9721,100.21,99.54,None
Pi0Archive,71,99.9844,98.81,100.27,None
Pi0Archive,72,99.9798,101.62,100.69,None
Pi0Archive,73,99.9785,99.11,99.01,Thermal
Pi0Archive,74,99.9827,99.05,100.48,None
Pi0Archive,75,99.9786,98.04,99.15,Quantum
Pi0Archive,76,99.9881,100.18,100.67,None
Pi0Archive,77,99.973,98.51,99.62,Quantum
Pi0Archive,78,99.9859,101.44,100.8,None
Pi0Archive,79,99.975,98.41,100.56,Quantum
Pi0Archive,80,99.9781,100.48,99.31,Scaling
Pi0Archive,81,99.9873,101.9,100.62,Quantum
Pi0Archive,82,99.9705,100.95,99.66,Scaling
Pi0Archive,83,99.986,101.46,100.62,None
Pi0Archive,84,99.9857,98.43,100.74,Quantum
Pi0Archive,85,99.9744,101.27,99.92,None
Pi0Archive,86,99.9859,98.91,99.05,None
Pi0Archive,87,99.9766,101.46,100.93,None
Pi0Archive,88,99.9828,99.6,100.96,None
Pi0Archive,89,99.9888,98.46,100.94,None
Pi0Archive,90,99.9893,99.06,99.22,None
Pi0Archive,91,99.9846,99.25,100.21,None
Pi0Archive,92,99.9777,100.31,99.51,Thermal
Pi0Archive,93,99.97,101.7,100.08,Thermal
Pi0Archive,94,99.9848,100.68,99.73,None
Pi0Archive,95,99.9833,99.32,99.63,Quantum
Pi0Archive,96,99.9844,99.2,99.62,None
Pi0Archive,97,99.978,99.18,99.25,None
Pi0Archive,98,99.9888,100.71,100.81,None
Pi0Archive,99,99.976,100.19,99.0,None
Pi0Archive,100,99.9786,100.32,100.31,None
Pi0Archive,101,99.9788,98.85,99.95,Scaling
Pi0Archive,102,99.9859,98.68,99.17,None
Pi0Archive,103,99.9827,99.34,100.64,Thermal
Pi0Archive,104,99.9835,98.9,99.4,None
Pi0Archive,105,99.9749,99.9,100.7,None
Pi0Archive,106,99.9783,100.52,99.39,None
Pi0Archive,107,99.9799,98.98,100.31,None
Pi0Archive,108,99.985,101.08,99.21,None
Pi0Archive,109,99.9735,101.83,100.04,None
Pi0Archive,110,99.975,101.39,99.91,Quantum
Pi0Archive,111,99.9834,101.95,100.19,Bandwidth
Pi0Archive,112,99.9878,100.45,100.44,None
Pi0Archive,113,99.9866,100.19,100.79,Thermal
Pi0Archive,114,99.9795,99.04,99.49,None
Pi0Archive,115,99.9853,100.09,100.25,None
Pi0Archive,116,99.9715,99.14,99.54,None
Pi0Archive,117,99.9808,98.55,99.46,None
Pi0Archive,118,99.9841,98.26,99.82,None
Pi0Archive,119,99.9783,98.83,99.84,Scaling
Pi0Archive,120,99.9817,100.78,100.71,Thermal
allPi0Id,1,99.9776,98.02,99.7,Thermal
allPi0Id,2,99.9871,101.81,99.84,Thermal
allPi0Id,3,99.9809,100.41,99.44,None
allPi0Id,4,99.9787,98.12,99.67,None
allPi0Id,5,99.9781,98.66,99.93,None
allPi0Id,6,99.9824,98.11,99.79,None
allPi0Id,7,99.9705,100.57,99.27,None
allPi0Id,8,99.971,99.52,99.42,None
allPi0Id,9,99.9852,99.52,100.5,Quantum
allPi0Id,10,99.975,98.33,99.04,None
allPi0Id,11,99.99,99.4,100.3,Thermal
allPi0Id,12,99.983,101.02,100.9,None
allPi0Id,13,99.9704,98.61,99.25,None
allPi0Id,14,99.9813,98.87,100.4,Thermal
allPi0Id,15,99.9734,100.43,100.5,None
allPi0Id,16,99.9864,101.86,99.22,None
allPi0Id,17,99.9762,100.71,100.92,None
allPi0Id,18,99.9843,98.3,100.38,None
allPi0Id,19,99.972,101.09,100.7,None
allPi0Id,20,99.9724,101.94,100.57,None
allPi0Id,21,99.9786,99.48,100.01,None
allPi0Id,22,99.987,101.29,99.21,Bandwidth
allPi0Id,23,99.9827,101.31,100.41,None
allPi0Id,24,99.9847,101.86,99.54,Quantum
allPi0Id,25,99.9808,99.93,99.87,Thermal
allPi0Id,26,99.9754,101.41,100.66,None
allPi0Id,27,99.9876,98.98,99.93,None
allPi0Id,28,99.9776,98.11,100.7,None
allPi0Id,29,99.9742,101.19,99.68,Quantum
allPi0Id,30,99.984,99.11,99.02,Scaling
allPi0Id,31,99.9717,100.88,99.98,Thermal
allPi0Id,32,99.9838,100.58,99.98,Thermal
allPi0Id,33,99.9719,98.89,100.38,None
allPi0Id,34,99.9816,99.89,100.06,None
allPi0Id,35,99.9849,99.32,100.41,None
allPi0Id,36,99.975,98.48,99.39,None
allPi0Id,37,99.9807,101.05,99.37,None
allPi0Id,38,99.9797,100.9,100.95,None
allPi0Id,39,99.9757,98.4,99.39,None
allPi0Id,40,99.9736,98.06,100.07,None
allPi0Id,41,99.9895,100.21,100.39,None
allPi0Id,42,99.9874,99.96,100.75,None
allPi0Id,43,99.9794,99.76,99.37,None
allPi0Id,44,99.9888,99.91,100.64,None
allPi0Id,45,99.9715,100.52,99.11,None
allPi0Id,46,99.9813,99.22,100.99,None
allPi0Id,47,99.9853,100.43,100.58,None
allPi0Id,48,99.9805,99.8,99.89,Quantum
allPi0Id,49,99.9898,99.22,100.24,None
allPi0Id,50,99.9848,101.79,99.42,None
allPi0Id,51,99.9832,98.63,99.35,None
allPi0Id,52,99.9701,99.8,100.19,None
allPi0Id,53,99.9746,100.83,100.41,None
allPi0Id,54,99.9837,101.7,100.58,None
allPi0Id,55,99.9832,101.73,99.85,None
allPi0Id,56,99.983,101.63,100.65,None
allPi0Id,57,99.9733,99.23,100.5,None
allPi0Id,58,99.9758,98.5,100.38,None
allPi0Id,59,99.9889,100.0,99.99,None
allPi0Id,60,99.9708,99.73,99.64,None
allPi0Id,61,99.9718,101.85,100.67,None
allPi0Id,62,99.989,102.0,100.34,None
allPi0Id,63,99.9708,101.03,99.94,None
allPi0Id,64,99.9883,98.73,100.17,None
allPi0Id,65,99.9798,98.36,99.7,None
allPi0Id,66,99.9834,101.43,99.66,None
allPi0Id,67,99.9758,101.78,100.63,None
allPi0Id,68,99.9791,99.26,99.65,Bandwidth
allPi0Id,69,99.9781,100.06,100.98,None
allPi0Id,70,99.9809,99.65,99.38,None
allPi0Id,71,99.9851,100.5,100.52,None
allPi0Id,72,99.981,101.71,99.88,None
allPi0Id,73,99.9724,101.89,100.22,None
allPi0Id,74,99.9732,100.2,100.1,None
allPi0Id,75,99.9898,101.65,99.92,None
allPi0Id,76,99.9866,99.99,100.43,None
allPi0Id,77,99.9755,101.34,100.96,None
allPi0Id,78,99.981,99.53,100.84,None
allPi0Id,79,99.9876,101.46,99.55,Thermal
allPi0Id,80,99.9783,101.74,100.02,Quantum
allPi0Id,81,99.9757,99.19,100.17,Bandwidth
allPi0Id,82,99.9798,98.59,100.08,None
allPi0Id,83,99.981,100.17,99.91,None
allPi0Id,84,99.9738,100.79,100.14,None
allPi0Id,85,99.9855,98.17,100.49,Thermal
allPi0Id,86,99.9862,99.54,100.33,Quantum
allPi0Id,87,99.9896,99.98,99.07,None
allPi0Id,88,99.9818,101.48,100.75,None
allPi0Id,89,99.9805,99.83,100.44,None
allPi0Id,90,99.9831,98.62,99.94,Bandwidth
allPi0Id,91,99.9768,100.77,100.3,Quantum
allPi0Id,92,99.987,101.44,99.76,None
allPi0Id,93,99.9844,101.04,100.74,None
allPi0Id,94,99.9714,100.52,100.84,Bandwidth
allPi0Id,95,99.9849,99.74,99.2,None
allPi0Id,96,99.9875,99.77,100.39,Scaling
allPi0Id,97,99.9709,101.18,99.59,None
allPi0Id,98,99.9729,100.12,100.13,Thermal
allPi0Id,99,99.9734,98.32,100.74,None
allPi0Id,100,99.9748,101.65,99.29,None
allPi0Id,101,99.9751,99.02,99.02,Quantum
allPi0Id,102,99.988,100.71,99.32,None
allPi0Id,103,99.9769,100.35,100.28,None
allPi0Id,104,99.975,101.38,99.4,None
allPi0Id,105,99.9797,98.95,100.14,None
allPi0Id,106,99.9899,99.18,100.96,None
allPi0Id,107,99.9755,100.26,100.37,Thermal
allPi0Id,108,99.971,100.43,99.99,Scaling
allPi0Id,109,99.9757,101.2,100.21,None
allPi0Id,110,99.9827,100.48,100.36,Thermal
allPi0Id,111,99.9832,101.35,100.26,Scaling
allPi0Id,112,99.9829,99.24,99.88,None
allPi0Id,113,99.9846,98.36,99.59,Thermal
allPi0Id,114,99.9735,98.53,100.08,Bandwidth
allPi0Id,115,99.9806,101.65,100.66,None
allPi0Id,116,99.9865,99.93,100.61,Thermal
allPi0Id,117,99.9768,98.46,100.93,None
allPi0Id,118,99.9893,101.44,100.45,Bandwidth
allPi0Id,119,99.9893,101.22,99.73,Thermal
allPi0Id,120,99.9703,100.15,99.91,None
Qpi0n,1,99.9834,100.34,100.64,Scaling
Qpi0n,2,99.9722,98.94,99.05,Quantum
Qpi0n,3,99.9812,101.66,99.44,None
Qpi0n,4,99.9865,101.64,99.6,None
Qpi0n,5,99.9728,101.79,99.61,None
Qpi0n,6,99.9719,101.55,99.27,None
Qpi0n,7,99.9834,100.97,100.89,None
Qpi0n,8,99.9848,98.62,99.83,None
Qpi0n,9,99.9798,99.63,100.9,None
Qpi0n,10,99.9774,99.77,100.9,Quantum
Qpi0n,11,99.972,100.74,100.09,Bandwidth
Qpi0n,12,99.9772,99.59,99.38,None
Qpi0n,13,99.987,99.82,100.33,None
Qpi0n,14,99.9819,98.09,100.57,None
Qpi0n,15,99.9725,100.26,99.14,Thermal
Qpi0n,16,99.9741,98.86,100.74,None
Qpi0n,17,99.973,101.6,99.01,Quantum
Qpi0n,18,99.9729,98.52,99.5,None
Qpi0n,19,99.9832,98.1,99.03,Thermal
Qpi0n,20,99.9748,99.3,99.35,None
Qpi0n,21,99.9848,100.1,100.49,None
Qpi0n,22,99.9856,100.05,99.22,None
Qpi0n,23,99.9889,98.17,100.57,Quantum
Qpi0n,24,99.9804,99.83,100.93,None
Qpi0n,25,99.9796,99.61,100.37,None
Qpi0n,26,99.9882,98.29,99.16,None
Qpi0n,27,99.9713,99.1,100.27,None
Qpi0n,28,99.9765,101.98,100.06,None
Qpi0n,29,99.9821,98.4,100.4,Quantum
Qpi0n,30,99.983,101.08,100.44,None
Qpi0n,31,99.979,98.91,99.68,None
Qpi0n,32,99.9783,98.38,99.85,None
Qpi0n,33,99.9775,98.61,100.85,None
Qpi0n,34,99.9866,98.37,99.19,Thermal
Qpi0n,35,99.9862,100.23,100.17,None
Qpi0n,36,99.9766,98.49,99.71,None
Qpi0n,37,99.985,101.47,100.44,Bandwidth
Qpi0n,38,99.982,99.41,100.16,None
Qpi0n,39,99.9831,98.9,99.22,Quantum
Qpi0n,40,99.9774,101.05,100.15,Quantum
Qpi0n,41,99.9869,101.9,100.64,None
Qpi0n,42,99.9829,98.11,100.86,Quantum
Qpi0n,43,99.9753,98.72,100.41,None
Qpi0n,44,99.9768,98.02,100.74,None
Qpi0n,45,99.978,98.57,100.27,None
Qpi0n,46,99.9849,98.86,99.84,None
Qpi0n,47,99.9774,100.89,100.55,None
Qpi0n,48,99.9717,98.21,99.31,None
Qpi0n,49,99.9835,99.09,100.32,None
Qpi0n,50,99.9788,99.09,100.51,None
Qpi0n,51,99.9786,99.13,100.36,None
Qpi0n,52,99.9833,98.18,99.79,None
Qpi0n,53,99.9702,99.21,99.42,None
Qpi0n,54,99.9751,99.31,99.02,Thermal
Qpi0n,55,99.9735,99.52,100.41,None
Qpi0n,56,99.9867,101.22,99.14,Quantum
Qpi0n,57,99.9708,98.07,100.84,Quantum
Qpi0n,58,99.9815,100.29,100.42,None
Qpi0n,59,99.9723,98.08,99.65,Quantum
Qpi0n,60,99.9824,101.33,100.84,None
Qpi0n,61,99.9869,98.97,100.18,None
Qpi0n,62,99.9779,99.24,99.68,None
Qpi0n,63,99.9734,100.04,99.23,None
Qpi0n,64,99.9881,99.4,100.45,Quantum
Qpi0n,65,99.9863,98.95,99.29,None
Qpi0n,66,99.982,101.04,100.31,None
Qpi0n,67,99.9855,99.98,100.51,Thermal
Qpi0n,68,99.979,101.7,100.13,None
Qpi0n,69,99.9825,101.46,100.25,None
Qpi0n,70,99.9714,99.77,99.61,None
Qpi0n,71,99.9711,100.03,99.62,None
Qpi0n,72,99.9711,101.33,99.15,Quantum
Qpi0n,73,99.9871,100.46,100.01,None
Qpi0n,74,99.9811,101.17,100.79,None
Qpi0n,75,99.9862,100.61,99.64,None
Qpi0n,76,99.973,98.25,99.21,Quantum
Qpi0n,77,99.9769,100.86,100.01,None
Qpi0n,78,99.975,99.75,99.88,None
Qpi0n,79,99.9732,99.49,99.57,None
Qpi0n,80,99.9768,100.39,100.58,None
Qpi0n,81,99.9713,98.38,100.36,None
Qpi0n,82,99.9845,100.63,100.81,Quantum
Qpi0n,83,99.9767,100.33,99.28,None
Qpi0n,84,99.9894,100.79,99.78,None
Qpi0n,85,99.9888,99.24,99.75,Thermal
Qpi0n,86,99.9863,100.68,100.66,Thermal
Qpi0n,87,99.9837,100.11,100.29,None
Qpi0n,88,99.9772,99.45,99.36,None
Qpi0n,89,99.989,99.95,99.45,None
Qpi0n,90,99.9715,101.38,99.2,Thermal
Qpi0n,91,99.9867,101.53,99.08,None
Qpi0n,92,99.9853,98.52,99.75,None
Qpi0n,93,99.9866,101.08,100.62,None
Qpi0n,94,99.9788,99.64,100.35,None
Qpi0n,95,99.9789,99.14,100.5,None
Qpi0n,96,99.9807,99.24,100.62,None
Qpi0n,97,99.9867,99.47,100.89,Bandwidth
Qpi0n,98,99.9792,99.13,99.76,None
Qpi0n,99,99.9893,101.27,100.6,None
Qpi0n,100,99.975,100.56,100.75,None
Qpi0n,101,99.9721,101.38,100.7,None
Qpi0n,102,99.9853,99.09,100.81,None
Qpi0n,103,99.9787,101.79,99.44,None
Qpi0n,104,99.977,98.11,99.11,None
Qpi0n,105,99.9747,101.98,99.75,None
Qpi0n,106,99.9886,101.36,100.3,Thermal
Qpi0n,107,99.9728,99.15,100.66,None
Qpi0n,108,99.9728,100.82,99.9,None
Qpi0n,109,99.9716,99.02,100.67,None
Qpi0n,110,99.9845,100.11,99.22,None
Qpi0n,111,99.976,98.19,99.84,Thermal
Qpi0n,112,99.9791,98.44,100.81,None
Qpi0n,113,99.9703,100.06,99.48,None
Qpi0n,114,99.9786,100.46,99.48,None
Qpi0n,115,99.9833,98.34,100.95,None
Qpi0n,116,99.9805,100.03,100.98,None
Qpi0n,117,99.9778,99.88,100.27,Bandwidth
Qpi0n,118,99.9751,98.06,100.58,None
Qpi0n,119,99.9847,100.51,100.54,Thermal
Qpi0n,120,99.9767,98.18,100.09,Quantum
Wepi0n,1,99.9735,101.12,99.93,None
Wepi0n,2,99.9826,101.25,99.13,Thermal
Wepi0n,3,99.9792,99.17,99.09,None
Wepi0n,4,99.9708,101.73,100.03,Bandwidth
Wepi0n,5,99.9809,99.01,100.51,None
Wepi0n,6,99.9771,101.12,100.73,None
Wepi0n,7,99.9725,99.47,100.78,Thermal
Wepi0n,8,99.9879,99.55,100.95,None
Wepi0n,9,99.98,101.7,100.04,Quantum
Wepi0n,10,99.9845,98.32,100.2,Quantum
Wepi0n,11,99.9809,99.28,99.16,None
Wepi0n,12,99.9761,100.41,99.85,None
Wepi0n,13,99.977,98.17,100.74,None
Wepi0n,14,99.99,99.1,100.96,Scaling
Wepi0n,15,99.9715,100.55,99.73,Quantum
Wepi0n,16,99.9836,101.81,99.29,None
Wepi0n,17,99.9856,98.14,99.13,Thermal
Wepi0n,18,99.9773,99.53,100.13,None
Wepi0n,19,99.9836,101.8,99.74,Thermal
Wepi0n,20,99.9815,100.12,99.8,None
Wepi0n,21,99.975,98.45,100.47,None
Wepi0n,22,99.9777,100.25,99.52,None
Wepi0n,23,99.9789,101.99,99.57,Scaling
Wepi0n,24,99.9798,98.49,100.71,None
Wepi0n,25,99.988,99.78,99.18,None
Wepi0n,26,99.9869,99.28,99.69,None
Wepi0n,27,99.9808,101.57,100.7,Thermal
Wepi0n,28,99.9885,100.55,100.59,None
Wepi0n,29,99.9724,98.8,99.28,Thermal
Wepi0n,30,99.9705,100.22,99.74,Quantum
Wepi0n,31,99.981,100.45,99.17,None
Wepi0n,32,99.99,100.88,100.05,Thermal
Wepi0n,33,99.9865,98.3,100.94,None
Wepi0n,34,99.979,100.72,99.69,Quantum
Wepi0n,35,99.9856,100.56,99.36,Bandwidth
Wepi0n,36,99.9787,101.64,99.11,None
Wepi0n,37,99.9731,98.66,99.65,Thermal
Wepi0n,38,99.9769,101.76,100.79,Quantum
Wepi0n,39,99.975,100.54,100.1,None
Wepi0n,40,99.9761,100.13,100.01,None
Wepi0n,41,99.9888,98.62,100.32,Thermal
Wepi0n,42,99.9821,101.37,100.13,Quantum
Wepi0n,43,99.9706,98.18,100.28,None
Wepi0n,44,99.983,101.07,99.83,None
Wepi0n,45,99.98,100.51,99.58,Bandwidth
Wepi0n,46,99.9797,101.22,100.37,None
Wepi0n,47,99.9715,98.24,99.88,None
Wepi0n,48,99.9741,100.43,99.63,Thermal
Wepi0n,49,99.9847,101.44,100.95,None
Wepi0n,50,99.9774,100.25,99.64,None
Wepi0n,51,99.9753,98.99,99.19,None
Wepi0n,52,99.9777,100.46,99.5,Quantum
Wepi0n,53,99.9732,99.31,100.16,None
Wepi0n,54,99.9853,99.99,100.03,None
Wepi0n,55,99.9762,98.09,100.89,None
Wepi0n,56,99.9893,98.86,99.71,None
Wepi0n,57,99.9799,101.53,100.31,None
Wepi0n,58,99.9807,101.39,99.86,Quantum
Wepi0n,59,99.9846,101.06,99.73,None
Wepi0n,60,99.9814,98.78,100.11,None
Wepi0n,61,99.9801,101.06,99.56,Bandwidth
Wepi0n,62,99.9836,98.48,100.95,None
Wepi0n,63,99.9859,99.36,100.88,Thermal
Wepi0n,64,99.974,100.04,100.0,None
Wepi0n,65,99.9727,99.33,99.95,None
Wepi0n,66,99.9821,100.06,99.66,None
Wepi0n,67,99.9733,101.96,100.48,None
Wepi0n,68,99.9767,101.31,100.06,Thermal
Wepi0n,69,99.976,101.26,99.74,None
Wepi0n,70,99.9896,100.33,100.59,Thermal
Wepi0n,71,99.9838,98.11,99.95,Bandwidth
Wepi0n,72,99.9857,101.1,100.16,Thermal
Wepi0n,73,99.9817,98.68,100.26,None
Wepi0n,74,99.9868,98.59,100.36,None
Wepi0n,75,99.989,98.44,99.04,None
Wepi0n,76,99.973,100.76,99.82,Thermal
Wepi0n,77,99.9884,101.49,100.47,None
Wepi0n,78,99.9728,98.83,99.65,None
Wepi0n,79,99.9805,99.26,99.35,Scaling
Wepi0n,80,99.9768,99.42,100.54,Thermal
Wepi0n,81,99.9829,100.77,100.22,None
Wepi0n,82,99.9749,100.23,99.45,Bandwidth
Wepi0n,83,99.976,99.16,99.41,Thermal
Wepi0n,84,99.9763,99.4,100.87,Thermal
Wepi0n,85,99.9755,98.49,100.35,None
Wepi0n,86,99.9896,101.27,100.91,Quantum
Wepi0n,87,99.9758,99.15,100.43,None
Wepi0n,88,99.9788,99.03,99.96,None
Wepi0n,89,99.9808,101.73,100.39,None
Wepi0n,90,99.9823,100.35,99.48,None
Wepi0n,91,99.9806,100.55,99.1,None
Wepi0n,92,99.9843,98.4,100.54,None
Wepi0n,93,99.981,101.72,99.81,Scaling
Wepi0n,94,99.9876,99.91,99.4,Bandwidth
Wepi0n,95,99.9764,100.58,100.82,None
Wepi0n,96,99.9815,100.14,100.45,Scaling
Wepi0n,97,99.9883,98.7,100.76,None
Wepi0n,98,99.9884,101.99,99.79,None
Wepi0n,99,99.9887,101.85,100.85,Quantum
Wepi0n,100,99.9702,100.27,99.21,Bandwidth
Wepi0n,101,99.9757,101.96,100.09,None
Wepi0n,102,99.9888,101.4,99.94,None
Wepi0n,103,99.9723,98.65,99.92,None
Wepi0n,104,99.9737,100.95,100.58,None
Wepi0n,105,99.9851,98.7,100.71,Quantum
Wepi0n,106,99.9865,100.06,99.17,None
Wepi0n,107,99.9737,98.56,99.65,None
Wepi0n,108,99.9752,98.94,100.51,Bandwidth
Wepi0n,109,99.976,100.89,99.02,None
Wepi0n,110,99.9839,98.25,99.24,None
Wepi0n,111,99.9781,100.01,100.79,Thermal
Wepi0n,112,99.9762,98.47,100.83,None
Wepi0n,113,99.9823,98.88,99.27,None
Wepi0n,114,99.985,100.42,99.83,None
Wepi0n,115,99.9794,100.15,100.33,None
Wepi0n,116,99.9749,101.02,100.75,None
Wepi0n,117,99.9789,100.82,99.16,None
Wepi0n,118,99.9712,100.19,100.01,None
Wepi0n,119,99.973,99.31,100.04,None
Wepi0n,120,99.9741,100.33,99.18,None
Epi0n,1,99.9862,99.81,100.03,None
Epi0n,2,99.9712,99.85,100.61,Thermal
Epi0n,3,99.9779,101.27,100.49,None
Epi0n,4,99.9709,99.38,99.13,Bandwidth
Epi0n,5,99.9887,98.28,100.87,None
Epi0n,6,99.9782,101.08,100.53,Bandwidth
Epi0n,7,99.9829,99.68,100.99,None
Epi0n,8,99.9874,101.63,99.75,None
Epi0n,9,99.9832,100.16,100.31,None
Epi0n,10,99.9736,100.15,100.06,Thermal
Epi0n,11,99.9745,98.01,99.05,None
Epi0n,12,99.9835,100.18,100.06,Quantum
Epi0n,13,99.975,99.38,99.55,Scaling
Epi0n,14,99.9845,98.45,100.62,None
Epi0n,15,99.9853,101.54,99.03,None
Epi0n,16,99.972,98.13,100.2,Thermal
Epi0n,17,99.971,100.96,99.8,None
Epi0n,18,99.9743,101.45,99.11,None
Epi0n,19,99.9758,101.26,100.46,None
Epi0n,20,99.982,100.69,99.64,None
Epi0n,21,99.9729,100.64,99.44,None
Epi0n,22,99.9712,101.79,100.76,Scaling
Epi0n,23,99.9825,99.71,99.99,Bandwidth
Epi0n,24,99.9888,100.69,100.57,None
Epi0n,25,99.9783,98.6,99.75,Thermal
Epi0n,26,99.9795,101.4,99.6,Thermal
Epi0n,27,99.9861,101.66,100.12,Bandwidth
Epi0n,28,99.9811,98.54,99.49,None
Epi0n,29,99.9829,101.69,100.69,None
Epi0n,30,99.9845,98.76,99.54,None
Epi0n,31,99.9821,101.49,99.38,Thermal
Epi0n,32,99.9845,100.24,99.96,Quantum
Epi0n,33,99.9767,101.83,99.03,Scaling
Epi0n,34,99.9892,98.47,101.0,None
Epi0n,35,99.9749,100.42,99.41,Scaling
Epi0n,36,99.981,101.1,99.76,None
Epi0n,37,99.9772,99.05,100.03,None
Epi0n,38,99.972,101.93,99.94,Quantum
Epi0n,39,99.9883,99.48,99.83,None
Epi0n,40,99.9744,98.58,99.52,Scaling
Epi0n,41,99.9816,99.67,99.3,None
Epi0n,42,99.9776,101.33,100.0,None
Epi0n,43,99.9837,99.03,100.64,Bandwidth
Epi0n,44,99.9828,99.96,99.34,Thermal
Epi0n,45,99.9734,100.88,99.98,Scaling
Epi0n,46,99.9808,100.57,99.12,None
Epi0n,47,99.9869,101.78,100.34,Thermal
Epi0n,48,99.9782,101.37,99.46,Thermal
Epi0n,49,99.9702,100.02,99.75,None
Epi0n,50,99.9833,100.47,99.97,None
Epi0n,51,99.9701,100.21,99.02,None
Epi0n,52,99.9755,101.91,99.03,Quantum
Epi0n,53,99.9835,101.22,100.82,None
Epi0n,54,99.9719,98.6,99.38,None
Epi0n,55,99.9863,99.07,99.79,None
Epi0n,56,99.9781,100.26,100.98,None
Epi0n,57,99.9837,101.39,100.31,Quantum
Epi0n,58,99.9852,98.37,99.76,None
Epi0n,59,99.9711,98.04,99.34,None
Epi0n,60,99.9787,101.14,100.13,Quantum
Epi0n,61,99.9719,100.11,99.09,None
Epi0n,62,99.9874,101.55,99.95,None
Epi0n,63,99.9715,101.7,100.8,None
Epi0n,64,99.9707,101.72,99.63,Bandwidth
Epi0n,65,99.9817,101.01,100.43,None
Epi0n,66,99.9715,98.65,99.48,Quantum
Epi0n,67,99.9778,101.59,99.66,Thermal
Epi0n,68,99.9728,101.95,100.45,None
Epi0n,69,99.9895,98.21,99.87,Quantum
Epi0n,70,99.9768,101.08,100.91,None
Epi0n,71,99.9855,98.12,99.55,Bandwidth
Epi0n,72,99.9798,99.42,100.88,None
Epi0n,73,99.9836,100.64,99.17,None
Epi0n,74,99.986,100.85,99.16,None
Epi0n,75,99.9842,100.54,100.48,None
Epi0n,76,99.9721,98.02,99.62,None
